,Data,ETP,Esc,Apport,Kc,Evs,Hum,Dr,Vrad,StRurMax,Hr,Epc,Etr,Etm,Eps,StRur,StRuSurf,StRu,TP,EtrEtm,fase,tmin,tmed,tmax,prec,irrigacao,ano,mes
1992-03-18,,3.7517817311524198,0,5.745205825438375,0.64,2.6262472118066937,20.0,3.1334627164366466,0.010604637677626982,19.998091165218028,1.0,2.4011403079375486,2.6262472118066937,2.6262472118066937,0.0,17.371843953411336,17.373752788193308,17.373752788193308,2.3294493023813567,100.0,4,19.15881729432701,23.828136498937457,28.497039702522265,5.745205825438375,0,1992,3
1992-03-19,,3.7725018780166564,0,11.724178101413242,0.62,2.6407513146116592,20.0,9.097930889606552,0.009544173909858955,19.998282048696225,1.0,2.338951164370327,2.6407513146116592,2.6407513146116592,0.0,17.357530734084566,17.35924868538834,17.35924868538834,2.267579768262753,100.0,4,18.568352691773082,23.755525459957497,28.94268158810089,11.724178101413242,0,1992,3
1992-03-20,,3.793222024880894,0,3.1046765611896254,0.6,2.6552554174166256,20.0,0.46392524657796486,0.00858975651887306,19.998453843826603,1.0,2.275933214928536,2.6552554174166256,2.6552554174166256,0.0,17.343198426409977,17.344744582583374,17.344744582583374,2.205015650410472,100.0,4,19.262734107670923,24.3102210183983,29.357707263524034,3.1046765611896254,0,1992,3
1992-03-21,,3.8139421717451305,0,4.697482031177202,0.6,2.669759520221591,20.0,2.042226613760576,0.007730780866985754,19.998608459443943,1.0,2.2883653030470783,2.669759520221591,2.669759520221591,0.0,17.328848939222354,17.33024047977841,17.33024047977841,2.2156095708059436,100.0,4,19.050509364306837,23.792408840735934,28.534308290540963,4.697482031177202,0,1992,3
1992-03-22,,3.763125254351241,0,4.0893045572876225,0.6,2.6341876780458686,20.0,1.4195450370660332,0.0069577027802836255,19.99874761349955,1.0,2.2578751526107443,2.6341876780458686,2.6341876780458686,0.0,17.36455993545368,17.36581232195413,17.36581232195413,2.1896459469867535,100.0,4,19.482020374572272,23.931696353629437,28.381372331621638,4.0893045572876225,0,1992,3
1992-03-23,,3.712308336957352,0,3.4621835865159785,0.6,2.598615835870146,20.0,0.8279959084701076,0.00626193250225171,19.998872852149596,1.0,2.2273850021744113,2.598615835870146,2.598615835870146,0.0,17.40025701627945,17.401384164129855,17.401384164129855,2.163744299785802,100.0,4,19.03688081498289,23.878867854145177,28.720854893264864,3.4621835865159785,0,1992,3
1992-03-24,,3.6614914195634625,0,5.074010199250887,0.6,2.5630439936944236,20.0,2.475394363380744,0.00563573925202121,19.998985566934635,1.0,2.1968948517380773,2.5630439936944236,2.5630439936944236,0.0,17.43594157324021,17.436956006305575,17.436956006305575,2.1379046292030957,100.0,4,18.681475232599315,23.955154714165804,29.228834195730595,5.074010199250887,0,1992,3
1992-03-25,,3.610674502169573,0,5.370222788847271,0.6,2.527472151518701,20.0,2.807178795152847,0.005072165326822642,19.999087010241173,1.0,2.166404701301744,2.527472151518701,2.527472151518701,0.0,17.47161485872247,17.4725278484813,17.4725278484813,2.1121269352386296,100.0,4,18.987259009303973,24.11820618856663,29.249153367829223,5.370222788847271,0,1992,3
1992-03-26,,3.5598575847756835,0,3.2916790438248484,0.6,2.491900309342978,20.0,0.7642068923061487,0.004564948794136825,19.999178309217054,1.0,2.13591455086541,2.491900309342978,2.491900309342978,0.0,17.507277999874077,17.508099690657023,17.508099690657023,2.0864112178924046,100.0,4,18.486690360372158,23.545928247542665,28.60516613471317,3.2916790438248484,0,1992,3
1992-03-27,,3.5090406673817944,0,3.506204391323603,0.6,2.456328467167256,20.0,1.014304081980626,0.0041084539147284715,19.999260478295348,1.0,2.1054244004290767,2.456328467167256,2.456328467167256,0.0,17.54293201112809,17.543671532832743,17.543671532832743,2.060757477164423,100.0,4,18.678267614414885,24.140237129901706,29.60180664538853,3.506204391323603,0,1992,3
