,ETP,Esc,Apport,Kc,Evs,Hum,Dr,Vrad,StRurMax,Hr,Epc,Etr,Etm,Eps,StRur,StRuSurf,StRu,TP,EtrEtm,fase,tmed,prec,irrigacao,ano,mes
2004-07-30,3.549146659099377,0,17.4,0.5636363636363636,2.484402661369564,20,3.1183051599999985,77.13152579999999,6.116325356000001,1.0,2.000428116946922,2.484402661369564,2.484402661369564,0.0,3.631922694630437,17.515597338630435,17.515597338630435,1.9548777554052754,100.0,1,16.4,17.4,0,2004,7
2004-07-31,3.573739323867783,0,12.6,0.6,2.501617526707448,20,10.115597338630437,69.41837322,7.504692820400001,1.0,2.14424359432067,2.501617526707448,2.501617526707448,0.0,5.003075293692553,17.49838247329255,17.49838247329255,2.0934298690839745,100.0,2,16.4,12.6,0,2004,7
2004-08-01,3.598331988636189,0,12.6,0.62,2.518832392045332,20,10.098382473292553,62.476535897999995,8.754223538360002,1.0,2.2309658329544373,2.518832392045332,2.518832392045332,0.0,6.23539114631467,17.481167607954667,17.481167607954667,2.1760711975135925,100.0,2,15.1,12.6,0,2004,8
2004-08-02,3.6421748040108746,0,0.0,0.64,2.2284313872234236,20,0,56.22888230819999,9.878801184524,0.7450265123270928,2.3309918745669598,2.2284313872234236,2.549522362807612,2.518832392045331,5.131537405255246,15.252736220731244,15.252736220731244,2.175169324337386,87.40583803977333,2,23.3,0.0,0,2004,8
2004-08-03,3.6860176193855603,0,0.0,0.66,1.9677649058709488,20,0,50.60599407738,10.8909210660716,0.564108145631698,2.43277162879447,2.1436036808378827,2.43277162879447,4.747263779268755,4.000053605964963,13.109132539893361,13.109132539893361,2.1436036808378827,88.11364188343971,2,25.8,0.0,0,2004,8
2004-08-04,3.7298604347602455,0,0.0,0.68,1.7113332178101714,20,0,45.54539466964199,11.80182895946444,0.4161186809455895,2.5363050956369673,2.0049813582447116,2.5363050956369673,6.890867460106638,2.905980141113091,11.10415118164865,11.10415118164865,2.0049813582447116,79.05126878046904,2,26.6,0.0,0,2004,8
2004-08-05,3.7737032501349312,0,0.0,0.7000000000000001,1.4666319991462002,20,0,40.99085520267779,12.621646063517996,0.2951910730515419,2.6415922750944523,1.7660018227408565,2.6415922750944523,8.89584881835135,1.9597954224257905,9.338149358907794,9.338149358907794,1.7660018227408565,66.85368667190366,2,26.8,0.0,0,2004,8
2004-08-06,3.8175460655096174,0,21.1,0.72,2.672282245856732,20,10.438149358907793,36.891769682410015,13.359481457166197,1.0,2.7486331671669246,2.672282245856732,2.672282245856732,0.0,10.687199211309466,17.32771775414327,17.32771775414327,2.66094389167379,100.00000000000001,2,24.65,21.1,0,2004,8
2004-08-07,3.861388880884303,0,0.8,0.74,2.449935872008022,20,0,33.202592714169015,14.023533311449578,0.866489977648636,2.8574277718543843,2.7012952095065055,2.8574277718543843,1.8722822458567308,9.44995585608634,15.426422544636765,15.426422544636765,2.7012952095065055,94.53590519817222,2,25.05,0.8,0,2004,8
2004-08-08,3.9052316962589884,0,14.8,0.76,2.7336621873812916,20,10.226422544636765,29.88233344275211,14.62117998030462,1.0,2.967976089156831,2.8657159483520607,2.967976089156831,0.0,11.75546403195256,17.13428405164794,17.13428405164794,2.8657159483520607,96.55454970886166,2,13.25,14.8,0,2004,8
