;Tempo;Num de;NDA;T;P;N;ETP;P-ETP;NEG-AC;ARM;ALT;ETR;DEF;EXC;    ARMx100;;Latitude   =;-23.4256;;;;;;;;Gr†fico;;;;;;;;;;;;;;;gr†fico;P;ETP;ETR;;;;;;;;;;;;Gr†fico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.0;;;;;;             Controle l¢gico;;;;;;;;;;;;co1;vlr; ;ARM;;;;;;;SP-ETP;SP-ETP;;;;;;;;;;
;DEC“NDIOS;Dias;;oC;mm;horas;Thornthwaite1948;mm;;mm;mm;mm;mm;mm;CAD;;d;hn;N;;;;;;;DEC“NDIOS;DEF(-1);EXC;;;;;;;;;;;;;Tempo;mm;Thornthwaite 1948;mm;;;;;;;;;;;;Tempo;CAD;ARM;;;;;;;;;;(mm);EXC;DEF;RET;REP;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;ini;;Logico;;;;;;;ncom;com;;;;;;;;;;
;A2;10;101;21.9665;5.0779;11.5;27.68;-22.6;-271.1;6.65;-1.69;6.8;20.9;0.0;6.6;;7.91;86.55;11.54;;;;;;;A2;-20.9;0.0;;;;;;;;;;;;;A2;5.08;27.68;6.76;;;;;;;;;;;;A2;100.0;6.6;;;;;;;;;;A2;0.0;-20.9;-1.7;0.0;;;;;;;;;;;;;;1;;11.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;7;;;;;;;0.0;0.0;1;;;;;;;;;
;A3;10;111;21.948;5.3027;11.3;27.10;-21.8;-292.9;5.35;-1.30;6.6;20.5;0.0;5.3;;11.58;84.91;11.32;;;;;;;A3;-20.5;0.0;;;;;;;;;;;;;A3;5.30;27.10;6.60;;;;;;;;;;;;A3;100.0;5.3;;;;;;;;;;A3;0.0;-20.5;-1.3;0.0;;;;;;;;;;;;;;1;;12.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5;;;;;;;0.0;0.0;1;;;;;;;;;
;M1;10;121;21.9195;5.4347;11.1;26.53;-21.1;-314.0;4.33;-1.02;6.5;20.1;0.0;4.3;;14.90;83.38;11.12;;;;;;;M1;-20.1;0.0;;;;;;;;;;;;;M1;5.43;26.53;6.45;;;;;;;;;;;;M1;100.0;4.3;;;;;;;;;;M1;0.0;-20.1;-1.0;0.0;;;;;;;;;;;;;;1;;13.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;;;;;;;0.0;0.0;1;;;;;;;;;
;M2;10;131;21.957;5.6689;10.9;26.20;-20.5;-334.5;3.53;-0.80;6.5;19.7;0.0;3.5;;17.78;82.01;10.93;;;;;;;M2;-19.7;0.0;;;;;;;;;;;;;M2;5.67;26.20;6.47;;;;;;;;;;;;M2;100.0;3.5;;;;;;;;;;M2;0.0;-19.7;-0.8;0.0;;;;;;;;;;;;;;1;;14.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;;;;;;;0.0;0.0;1;;;;;;;;;
;M3;10;141;21.8625;5.474;10.8;25.56;-20.1;-354.6;2.88;-0.64;6.1;19.4;0.0;2.9;;20.14;80.86;10.78;;;;;;;M3;-19.4;0.0;;;;;;;;;;;;;M3;5.47;25.56;6.12;;;;;;;;;;;;M3;100.0;2.9;;;;;;;;;;M3;0.0;-19.4;-0.6;0.0;;;;;;;;;;;;;;1;;15.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;;;;;;;0.0;0.0;1;;;;;;;;;
;J1;10;151;21.8445;4.9917;10.7;25.23;-20.2;-374.8;2.36;-0.53;5.5;19.7;0.0;2.4;;21.90;79.97;10.66;;;;;;;J1;-19.7;0.0;;;;;;;;;;;;;J1;4.99;25.23;5.52;;;;;;;;;;;;J1;100.0;2.4;;;;;;;;;;J1;0.0;-19.7;-0.5;0.0;;;;;;;;;;;;;;1;;16.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;;;;;;;0.0;0.0;1;;;;;;;;;
;J2;10;161;21.799;4.921;10.6;24.92;-20.0;-394.8;1.93;-0.43;5.3;19.6;0.0;1.9;;23.01;79.40;10.59;;;;;;;J2;-19.6;0.0;;;;;;;;;;;;;J2;4.92;24.92;5.35;;;;;;;;;;;;J2;100.0;1.9;;;;;;;;;;J2;0.0;-19.6;-0.4;0.0;;;;;;;;;;;;;;1;;17.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;;;;;;;0.0;0.0;1;;;;;;;;;
;J3;10;171;21.715;4.8565;10.6;24.61;-19.8;-414.6;1.58;-0.35;5.2;19.4;0.0;1.6;;23.44;79.17;10.56;;;;;;;J3;-19.4;0.0;;;;;;;;;;;;;J3;4.86;24.61;5.20;;;;;;;;;;;;J3;100.0;1.6;;;;;;;;;;J3;0.0;-19.4;-0.3;0.0;;;;;;;;;;;;;;1;;18.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;;;;;;;0.0;0.0;1;;;;;;;;;
;J1;10;181;21.6925;5.9094;10.6;24.59;-18.7;-433.3;1.31;-0.27;6.2;18.4;0.0;1.3;;23.18;79.31;10.57;;;;;;;J1;-18.4;0.0;;;;;;;;;;;;;J1;5.91;24.59;6.18;;;;;;;;;;;;J1;100.0;1.3;;;;;;;;;;J1;0.0;-18.4;-0.3;0.0;;;;;;;;;;;;;;1;;19.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;;;;;;;0.0;0.0;1;;;;;;;;;
;J2;10;191;21.676;6.0954;10.6;24.70;-18.6;-451.9;1.09;-0.22;6.3;18.4;0.0;1.1;;22.24;79.80;10.64;;;;;;;J2;-18.4;0.0;;;;;;;;;;;;;J2;6.10;24.70;6.32;;;;;;;;;;;;J2;100.0;1.1;;;;;;;;;;J2;0.0;-18.4;-0.2;0.0;;;;;;;;;;;;;;1;;20.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;;;;;;;0.0;0.0;1;;;;;;;;;
;J3;10;201;21.6485;6.3759;10.7;24.87;-18.5;-470.4;0.91;-0.18;6.6;18.3;0.0;0.9;;20.64;80.61;10.75;;;;;;;J3;-18.3;0.0;;;;;;;;;;;;;J3;6.38;24.87;6.56;;;;;;;;;;;;J3;100.0;0.9;;;;;;;;;;J3;0.0;-18.3;-0.2;0.0;;;;;;;;;;;;;;1;;21.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;;;;;;;0.0;0.0;1;;;;;;;;;
;A1;10;211;21.5935;6.5849;10.9;25.05;-18.5;-488.8;0.75;-0.15;6.7;18.3;0.0;0.8;;18.42;81.70;10.89;;;;;;;A1;-18.3;0.0;;;;;;;;;;;;;A1;6.58;25.05;6.74;;;;;;;;;;;;A1;100.0;0.8;;;;;;;;;;A1;0.0;-18.3;-0.2;0.0;;;;;;;;;;;;;;1;;22.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;;;;;;;0.0;0.0;1;;;;;;;;;
;A2;10;221;21.588;6.6829;11.1;25.44;-18.8;-507.6;0.62;-0.13;6.8;18.6;0.0;0.6;;15.67;83.02;11.07;;;;;;;A2;-18.6;0.0;;;;;;;;;;;;;A2;6.68;25.44;6.81;;;;;;;;;;;;A2;100.0;0.6;;;;;;;;;;A2;0.0;-18.6;-0.1;0.0;;;;;;;;;;;;;;1;;23.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;;;;;;;0.0;0.0;1;;;;;;;;;
;A3;10;231;21.505;5.7089;11.3;25.65;-19.9;-527.5;0.51;-0.11;5.8;19.8;0.0;0.5;;12.45;84.51;11.27;;;;;;;A3;-19.8;0.0;;;;;;;;;;;;;A3;5.71;25.65;5.82;;;;;;;;;;;;A3;100.0;0.5;;;;;;;;;;A3;0.0;-19.8;-0.1;0.0;;;;;;;;;;;;;;1;;24.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;;;;;;;0.0;0.0;1;;;;;;;;;
;S1;10;241;21.4715;5.6349;11.5;26.04;-20.4;-547.9;0.42;-0.09;5.7;20.3;0.0;0.4;;8.86;86.13;11.48;;;;;;;S1;-20.3;0.0;;;;;;;;;;;;;S1;5.63;26.04;5.73;;;;;;;;;;;;S1;100.0;0.4;;;;;;;;;;S1;0.0;-20.3;-0.1;0.0;;;;;;;;;;;;;;1;;25.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;0.0;0.0;1;;;;;;;;;
;S2;10;251;21.4445;5.4618;11.7;26.47;-21.0;-569.0;0.34;-0.08;5.5;20.9;0.0;0.3;;5.01;87.82;11.71;;;;;;;S2;-20.9;0.0;;;;;;;;;;;;;S2;5.46;26.47;5.54;;;;;;;;;;;;S2;100.0;0.3;;;;;;;;;;S2;0.0;-20.9;-0.1;0.0;;;;;;;;;;;;;;1;;26.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;0.0;0.0;1;;;;;;;;;
;S3;10;261;21.455;5.2038;11.9;27.03;-21.8;-590.8;0.27;-0.07;5.3;21.8;0.0;0.3;;1.01;89.56;11.94;;;;;;;S3;-21.8;0.0;;;;;;;;;;;;;S3;5.20;27.03;5.27;;;;;;;;;;;;S3;100.0;0.3;;;;;;;;;;S3;0.0;-21.8;-0.1;0.0;;;;;;;;;;;;;;1;;27.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;0.0;0.0;1;;;;;;;;;
;O1;10;271;21.531;6.3063;12.2;27.80;-21.5;-612.3;0.22;-0.05;6.4;21.4;0.0;0.2;;-3.02;91.31;12.17;;;;;;;O1;-21.4;0.0;;;;;;;;;;;;;O1;6.31;27.80;6.36;;;;;;;;;;;;O1;100.0;0.2;;;;;;;;;;O1;0.0;-21.4;-0.1;0.0;;;;;;;;;;;;;;1;;28.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;0.0;0.0;1;;;;;;;;;
